left;1458050947257;30;1;4;0;6;1;0;109782
left;1458050947276;33;3;4;0;7;1;0;110452
left;1458050947277;22;15;0;2;10;1;1;105744
left;1458050947277;22;15;0;2;10;1;1;105674
right;1458050947278;31;19;4;0;8;1;0;110172
right;1458050947278;24;30;7;0;8;1;0;110492
right;1458050947278;21;9;5;0;6;1;0;110372
left;1458050947282;20;10;0;2;8;2;1;105244
right;1458050947282;25;16;1;3;8;2;1;105594
left;1458050947282;30;4;5;0;6;1;0;109792
left;1458050947283;35;23;6;0;8;1;0;110462
left;1458050947283;24;15;0;2;10;1;1;105754
right;1458050947285;24;15;0;2;8;2;1;105534
left;1458050947285;22;15;0;2;10;1;1;105684
right;1458050947285;28;10;5;0;5;0;0;110182
right;1458050947285;21;2;4;0;6;1;0;110502
right;1458050947286;23;10;5;0;8;2;0;110382
right;1458050947286;25;16;1;2;8;1;1;105604
left;1458050947286;30;1;4;0;6;1;0;109802
left;1458050947286;19;10;0;2;8;2;1;105254
left;1458050947286;34;36;7;0;7;1;0;110472
left;1458050947286;22;15;0;2;10;1;1;105764
left;1458050947287;22;15;0;2;10;1;1;105694
left;1458050947288;22;15;0;2;10;1;1;105704
left;1458050947288;23;15;1;2;10;1;1;105714
right;1458050947287;24;15;0;2;8;2;1;105544
left;1458050947299;23;15;0;2;10;1;1;105724
left;1458050947309;23;15;0;2;10;1;1;105734
left;1458050947314;22;15;0;2;10;1;1;105744
left;1458050947315;20;10;0;2;8;2;1;105264
left;1458050947315;20;10;0;2;8;2;1;105274
left;1458050947321;35;17;5;0;8;1;0;110482
right;1458050947325;23;32;7;0;7;1;0;110512
left;1458050947321;23;15;0;2;10;1;1;105774
left;1458050947325;20;10;0;2;8;2;1;105284
right;1458050947325;24;15;0;2;8;2;1;105554
left;1458050947326;20;10;0;2;8;2;1;105294
left;1458050947326;32;6;4;0;7;1;0;109812
left;1458050947326;33;32;7;0;8;1;0;109822
left;1458050947326;35;34;7;0;8;1;0;110492
right;1458050947329;23;12;4;0;8;2;0;110392
right;1458050947330;31;30;6;0;7;1;0;110192
left;1458050947330;22;15;0;2;11;1;1;105784
right;1458050947330;24;15;1;3;8;2;1;105564
right;1458050947330;24;15;1;2;8;2;1;105574
right;1458050947330;24;15;0;2;9;2;1;105584
left;1458050947331;20;10;0;2;9;2;1;105304
left;1458050947331;31;31;8;0;7;1;0;109832
left;1458050947331;33;23;7;0;8;1;0;109842
left;1458050947331;31;2;4;0;6;1;0;110502
right;1458050947332;21;10;6;0;6;1;0;110402
right;1458050947332;28;2;3;0;5;1;0;110202
right;1458050947333;31;12;4;0;7;1;0;110212
right;1458050947336;30;31;6;0;7;1;0;110222
right;1458050947338;31;18;5;0;7;1;0;110232
right;1458050947340;23;6;4;0;7;2;0;110522
right;1458050947341;21;3;5;0;6;1;0;110532
left;1458050947341;31;29;8;0;7;1;0;109852
left;1458050947342;32;34;8;0;8;1;0;109862
left;1458050947342;34;36;8;0;7;1;0;110512
right;1458050947342;22;21;7;0;6;1;0;110412
left;1458050947343;23;15;0;2;10;1;1;105794
left;1458050947346;22;15;1;2;10;1;1;105804
right;1458050947346;25;16;1;2;8;1;1;105614
right;1458050947347;25;15;1;2;8;2;1;105624
right;1458050947347;26;16;1;2;8;2;1;105634
right;1458050947347;26;16;1;2;8;1;1;105644
left;1458050947348;31;1;4;0;6;1;0;109872
left;1458050947349;32;28;8;0;7;1;0;109882
right;1458050947351;21;2;4;0;6;1;0;110422
right;1458050947351;23;4;4;0;7;2;0;110432
right;1458050947351;26;16;0;2;8;2;1;105654
right;1458050947351;22;13;6;0;6;1;0;110542
right;1458050947352;24;25;7;0;8;2;0;110552
right;1458050947352;22;16;7;0;6;1;0;110562
right;1458050947352;24;12;5;0;8;2;0;110572
left;1458050947351;30;3;4;0;6;1;0;109892
right;1458050947353;21;4;5;0;6;2;0;110582
right;1458050947353;24;28;7;0;8;2;0;110592
right;1458050947356;23;4;4;0;7;2;0;110602
right;1458050947357;22;24;7;0;6;1;0;110442
right;1458050947357;22;3;4;0;7;2;0;110452
left;1458050947357;22;15;0;2;10;1;1;105814
left;1458050947358;21;15;0;2;11;1;1;105824
left;1458050947358;24;15;0;2;10;1;1;105754
left;1458050947358;22;15;0;2;10;1;1;105764
left;1458050947358;23;15;0;2;10;1;1;105774
left;1458050947360;22;15;0;2;11;1;1;105784
left;1458050947362;23;15;0;2;10;1;1;105794
right;1458050947362;22;24;7;0;7;1;0;110612
right;1458050947362;24;20;5;0;8;2;0;110462
right;1458050947362;23;31;7;0;8;1;0;110622
left;1458050947363;21;10;0;2;8;2;1;105314
left;1458050947363;20;10;0;1;8;2;1;105324
left;1458050947363;20;10;0;1;8;2;1;105334
left;1458050947363;20;10;0;1;9;2;1;105344
left;1458050947364;21;10;0;2;9;2;1;105354
right;1458050947364;24;9;4;0;8;2;0;110662
left;1458050947366;22;15;1;2;10;1;1;105804
right;1458050947367;26;16;0;2;8;2;1;105664
left;1458050947367;22;15;0;2;10;1;1;105814
left;1458050947368;21;10;0;2;9;2;1;105364
left;1458050947368;21;10;0;2;9;2;1;105374
left;1458050947368;20;10;0;2;9;2;1;105384
left;1458050947368;21;10;0;2;9;2;1;105394
left;1458050947368;21;10;0;2;9;2;1;105404
left;1458050947369;21;10;0;2;9;2;1;105414
left;1458050947369;21;10;0;2;9;2;1;105424
