seconds,mV,mV,mV
6.141,0.000,0.000,0.000
6.148,0.000,0.000,0.000
6.156,0.000,0.000,0.000
6.164,0.000,0.000,0.000
6.172,0.000,0.000,0.000
6.180,0.000,0.000,0.000
6.188,0.000,0.000,0.000
6.195,0.000,0.000,0.000
6.203,0.000,0.000,0.000
6.211,0.000,0.000,0.000
6.219,0.000,0.000,0.000
6.227,0.000,0.000,0.000
6.234,0.000,0.000,0.000
6.242,0.000,0.000,0.000
6.250,0.000,0.000,0.000
6.258,0.000,0.000,0.000
6.266,0.000,0.000,0.000
6.273,0.000,0.000,0.000
6.281,0.000,0.000,0.000
6.289,0.000,0.000,0.000
6.297,0.000,0.000,0.000
6.305,0.000,0.000,0.000
6.312,0.000,0.000,0.000
6.320,0.000,0.000,0.000
6.328,0.000,0.000,0.000
6.336,0.000,0.000,0.000
6.344,0.000,0.000,0.000
6.352,0.000,0.000,0.000
6.359,0.000,0.000,0.000
6.367,0.000,0.000,0.000
6.375,0.000,0.000,0.000
6.383,0.000,0.000,0.000
6.391,0.000,0.000,0.000
6.398,0.000,0.000,0.000
6.406,0.000,0.000,0.000
6.414,0.000,0.000,0.000
6.422,0.000,0.000,0.000
6.430,0.000,0.000,0.000
6.438,1.000,1.000,1.000
6.445,1.000,1.000,1.000
6.453,1.000,1.000,1.000
6.461,1.000,1.000,1.000
6.469,1.000,1.000,1.000
6.477,1.000,1.000,1.000
6.484,1.000,1.000,1.000
6.492,1.000,1.000,1.000
6.500,1.000,1.000,1.000
6.508,1.000,1.000,1.000
6.516,1.000,1.000,1.000
6.523,1.000,1.000,1.000
6.531,1.000,1.000,1.000
6.539,1.000,1.000,1.000
6.547,1.000,1.000,1.000
6.555,1.000,1.000,1.000
6.562,1.000,1.000,1.000
6.570,1.000,1.000,1.000
6.578,0.000,0.000,0.000
6.586,0.000,0.000,0.000
6.594,0.000,0.000,0.000
6.602,0.000,0.000,0.000
6.609,0.000,0.000,0.000
6.617,0.000,0.000,0.000
6.625,0.000,0.000,0.000
6.633,0.000,0.000,0.000
6.641,0.000,0.000,0.000
6.648,0.000,0.000,0.000
6.656,0.000,0.000,0.000
6.664,0.000,0.000,0.000
6.672,0.000,0.000,0.000
6.680,0.000,0.000,0.000
6.688,0.000,0.000,0.000
6.695,0.000,0.000,0.000
6.703,0.000,0.000,0.000
6.711,0.000,0.000,0.000
6.719,0.000,0.000,0.000
6.727,0.000,0.000,0.000
6.734,0.000,0.000,0.000
6.742,0.000,0.000,0.000
6.750,0.000,0.000,0.000
6.758,0.000,0.000,0.000
6.766,0.000,0.000,0.000
6.773,0.000,0.000,0.000
6.781,0.000,0.000,0.000
